,id,name,des,last refreshed,from,to
85,100353,ICICI Prudential Mutual Fund - ICICI Prudential Long Term Equity Fund (Tax Saving)- IDCW,ISIN Div Payout/ ISIN Growth: INF109K01FN1<br><br>ISIN Div Reinvestment: INF109K01472,14-05-2021 20:00,02-04-2006,14-05-2021
86,100354,ICICI Prudential Mutual Fund - ICICI Prudential Long Term Equity Fund (Tax Saving) - Growth,ISIN Div Payout/ ISIN Growth: INF109K01464,14-05-2021 20:00,02-04-2006,14-05-2021
87,100355,ICICI Prudential Mutual Fund - ICICI Prudential Equity & Debt Fund - Monthly IDCW,ISIN Div Payout/ ISIN Growth: INF109K01DX5<br><br>ISIN Div Reinvestment: INF109K01498,14-05-2021 20:00,02-04-2006,14-05-2021
88,100356,ICICI Prudential Mutual Fund - ICICI Prudential Equity & Debt Fund - Growth,ISIN Div Payout/ ISIN Growth: INF109K01480,14-05-2021 20:00,02-04-2006,14-05-2021
89,100357,ICICI Prudential Mutual Fund - ICICI Prudential Liquid Fund -Quarterly IDCW,ISIN Div Payout/ ISIN Growth: INF109K01UU5<br><br>ISIN Div Reinvestment: INF109K01UT7,14-05-2021 20:00,02-04-2006,14-05-2021
90,100359,ICICI Prudential Mutual Fund - ICICI Prudential Liquid Institutional Plus Fund - Div - Daily,ISIN Div Payout/ ISIN Growth: INF109K01VJ6,14-05-2021 20:00,02-04-2006,24-04-2020
91,100363,ICICI Prudential Mutual Fund - ICICI Prudential Technology Fund - Growth,ISIN Div Payout/ ISIN Growth: INF109K01506,14-05-2021 20:00,02-04-2006,14-05-2021
92,100364,ICICI Prudential Mutual Fund - ICICI Prudential Long Term Bond Fund - Half Yearly IDCW,ISIN Div Payout/ ISIN Growth: INF109K01EX3<br><br>ISIN Div Reinvestment: INF109K01357,14-05-2021 20:00,02-04-2006,14-05-2021
93,100365,ICICI Prudential Mutual Fund - ICICI Prudential Long Term Bond Fund - Growth,ISIN Div Payout/ ISIN Growth: INF109K01365,14-05-2021 20:00,02-04-2006,14-05-2021
94,100366,ICICI Prudential Mutual Fund - ICICI Prudential Long Term Bond Fund-Institutional Quarterly Dividend,ISIN Div Payout/ ISIN Growth: INF109K01EY1<br><br>ISIN Div Reinvestment: INF109K01381,14-05-2021 20:00,19-06-2006,24-04-2020
95,100367,ICICI Prudential Mutual Fund - ICICI Prudential Long Term Bond Fund - Quarterly IDCW,ISIN Div Payout/ ISIN Growth: INF109K01EZ8<br><br>ISIN Div Reinvestment: INF109K01399,14-05-2021 20:00,02-04-2006,14-05-2021
96,100368,ICICI Prudential Mutual Fund - ICICI Prudential Gilt Fund - IDCW,ISIN Div Payout/ ISIN Growth: INF109K01JQ6<br><br>ISIN Div Reinvestment: INF109K01JP8,14-05-2021 20:00,02-04-2006,14-05-2021
97,100369,ICICI Prudential Mutual Fund - ICICI Prudential Gilt Fund - Growth,ISIN Div Payout/ ISIN Growth: INF109K01JR4,14-05-2021 20:00,02-04-2006,14-05-2021
98,100370,ICICI Prudential Mutual Fund - ICICI Prudential Short Term Gilt Fund - Dividend,ISIN Div Payout/ ISIN Growth: INF109K01JW4<br><br>ISIN Div Reinvestment: INF109K01JV6,14-05-2021 20:00,02-04-2006,25-05-2018
99,100371,ICICI Prudential Mutual Fund - ICICI Prudential Short Term Gilt Fund - Growth,ISIN Div Payout/ ISIN Growth: INF109K01JX2,14-05-2021 20:00,02-04-2006,25-05-2018
100,100372,ICICI Prudential Mutual Fund - ICICI Prudential Short Term Gilt Fund - Half Yearly Dividend,ISIN Div Payout/ ISIN Growth: INF109K01JZ7<br><br>ISIN Div Reinvestment: INF109K01JY0,14-05-2021 20:00,02-04-2006,25-05-2018
