label,id,name,des,last refreshed,from,to
224,100796,Sahara Mutual Fund - Sahara Midcap Fund-Growth Plan,ISIN Div Payout/ ISIN Growth: INF515L01239,19-01-2021 20:00,03-04-2006,03-04-2020
232,100820,UTI Mutual Fund - UTI Long Term Equity Fund ( Tax Saving ) - Regular Plan - IDCW,ISIN Div Payout/ ISIN Growth: INF789F01521<br><br>ISIN Div Reinvestment: INF789F01539,14-05-2021 20:00,03-04-2006,14-05-2021
240,100833,Kotak Mahindra Mutual Fund - Kotak Liquid Regular Plan Daily Reinvestment of Income Distribution cum capital withdrawal option,ISIN Div Payout/ ISIN Growth: INF174K01NL3,14-05-2021 20:00,02-04-2006,14-05-2021
244,100838,Nippon India Mutual Fund - NIPPON INDIA LIQUID FUND - RETAIL Plan - WEEKLY IDCW OPTION,ISIN Div Reinvestment: INF204K01UK5,14-05-2021 20:00,02-04-2006,14-05-2021
249,100848,Nippon India Mutual Fund - Reliance Liquid Fund-Cash Plan-Weekly Dividend Reinvestment Option,ISIN Div Reinvestment: INF204K01UD0,14-05-2021 20:00,02-04-2006,20-05-2018
252,100852,Nippon India Mutual Fund - NIPPON INDIA LIQUID FUND - DAILY IDCW OPTION,ISIN Div Reinvestment: INF204K01UM1,14-05-2021 20:00,02-04-2006,14-05-2021
253,100853,Nippon India Mutual Fund - NIPPON INDIA LIQUID FUND - WEEKLY IDCW OPTION,ISIN Div Reinvestment: INF204K01US8,14-05-2021 20:00,02-04-2006,14-05-2021
256,100857,Nippon India Mutual Fund - NIPPON INDIA CORPORATE BOND FUND - MONTHLY IDCW Option,ISIN Div Payout/ ISIN Growth: INF204K01EJ1<br><br>ISIN Div Reinvestment: INF204K01EK9,14-05-2021 20:00,03-04-2006,14-05-2021
259,100864,LIC Mutual Fund - LIC MF Tax Plan-Regular Plan-IDCW,ISIN Div Payout/ ISIN Growth: INF767K01931<br><br>ISIN Div Reinvestment: INF767K01949,14-05-2021 20:00,03-04-2006,14-05-2021
264,100875,HDFC Mutual Fund - HDFC Liquid Fund - IDCW Daily,ISIN Div Reinvestment: INF179KB1IC5,14-05-2021 20:00,02-04-2006,14-05-2021
266,100878,HDFC Mutual Fund - HDFC Liquid Fund-Premium Plan - Dividend-Weekly,ISIN Div Payout/ ISIN Growth: INF179K01KP9,14-05-2021 20:00,18-06-2006,14-04-2015
268,100895,Principal Mutual Fund - Principal Cash Management Fund - Daily Income Distribution CUM Capital Withdrawal,ISIN Div Reinvestment: INF173K01DB7,14-05-2021 20:00,01-04-2006,15-05-2021
269,100896,Principal Mutual Fund - Principal Cash Management Fund - Weekly Income Distribution CUM Capital Withdrawal Option,ISIN Div Reinvestment: INF173K01DC5,14-05-2021 20:00,01-04-2006,15-05-2021
